timestamp,flow_key,src_ip,dst_ip,src_port,dst_port,protocol,confidence,duration,packets_fwd,packets_bwd,bytes_fwd,bytes_bwd,rate,prediction
2025-10-18 16:45:12,10.255.203.206:40244-140.82.114.22:443-tcp,10.255.203.206,140.82.114.22,40244,443,tcp,0.9805720809896288,0.0028769969940185547,6,4,554,5816,3475.8465235766967,1
2025-10-18 16:45:12,10.255.203.206:40244-140.82.114.22:443-tcp,10.255.203.206,140.82.114.22,40244,443,tcp,0.971269578190556,0.021240949630737305,6,14,554,18968,941.5774881862366,1
2025-10-18 16:45:12,10.255.203.206:40244-140.82.114.22:443-tcp,10.255.203.206,140.82.114.22,40244,443,tcp,0.7789689017236372,0.32695937156677246,10,20,818,27607,91.75451939561036,1
2025-10-18 16:45:12,10.255.203.206:40244-140.82.114.22:443-tcp,10.255.203.206,140.82.114.22,40244,443,tcp,0.8538502932232447,0.34974193572998047,20,20,1478,27607,114.37004234711546,1
2025-10-18 16:45:12,10.255.203.206:40238-140.82.114.22:443-tcp,10.255.203.206,140.82.114.22,40238,443,tcp,0.8217620955897178,0.3906521797180176,6,4,1168,288,25.59821887393089,1
2025-10-18 16:45:14,10.255.203.206:45432-140.82.113.21:443-tcp,10.255.203.206,140.82.113.21,45432,443,tcp,0.9890594128843603,0.0843505859375,8,2,5133,167,118.55282199710564,1
2025-10-18 16:45:14,10.255.203.206:45432-140.82.113.21:443-tcp,10.255.203.206,140.82.113.21,45432,443,tcp,0.8051556467667863,0.130889892578125,17,3,12464,233,152.8001865236652,1
2025-10-18 16:45:14,10.255.203.206:56866-20.189.173.25:443-tcp,10.255.203.206,20.189.173.25,56866,443,tcp,0.7397439302111671,1.0506532192230225,7,3,2812,4797,9.517888316560992,1
2025-10-18 16:45:17,10.255.203.206:50062-20.189.173.15:443-tcp,10.255.203.206,20.189.173.15,50062,443,tcp,0.9571841033130454,1.0451369285583496,6,4,3104,401,9.56812425888911,1
2025-10-18 16:45:17,10.255.203.206:59976-20.189.173.25:443-tcp,10.255.203.206,20.189.173.25,59976,443,tcp,0.8175218710856273,0.9856159687042236,7,3,2812,4797,10.145939511457865,1
2025-10-18 16:45:20,10.255.203.206:59982-20.189.173.25:443-tcp,10.255.203.206,20.189.173.25,59982,443,tcp,0.8224116723733386,0.9028069972991943,7,3,2812,4797,11.076564570185708,1
2025-10-18 16:45:24,10.255.203.206:50062-20.189.173.15:443-tcp,10.255.203.206,20.189.173.15,50062,443,tcp,0.8808068382314347,8.138986349105835,14,6,12732,533,2.4573084585892246,1
2025-10-18 16:45:24,10.255.203.206:59988-20.189.173.25:443-tcp,10.255.203.206,20.189.173.25,59988,443,tcp,0.7769761086866951,1.059032917022705,7,3,2812,4797,9.442577127926615,1
2025-10-18 16:45:26,10.255.203.206:50062-20.189.173.15:443-tcp,10.255.203.206,20.189.173.15,50062,443,tcp,0.8710550318710562,10.569259405136108,19,11,17345,961,2.838420257281373,1
2025-10-18 16:45:28,10.255.203.206:40728-140.82.112.22:443-tcp,10.255.203.206,140.82.112.22,40728,443,tcp,0.8998039670666675,1.6275477409362793,11,9,4750,7050,12.288426014769067,1
2025-10-18 16:45:28,10.255.203.206:50062-20.189.173.15:443-tcp,10.255.203.206,20.189.173.15,50062,443,tcp,0.8733902663638237,12.66871976852417,28,12,27775,1121,3.1573829661447914,1
2025-10-18 16:45:29,10.255.203.206:50062-20.189.173.15:443-tcp,10.255.203.206,20.189.173.15,50062,443,tcp,0.8192937371827095,13.187995910644531,33,17,34996,1451,3.7913266229968348,1
2025-10-18 16:45:30,10.255.203.206:40734-140.82.112.22:443-tcp,10.255.203.206,140.82.112.22,40734,443,tcp,0.8993242643972313,1.390976905822754,11,9,5466,7050,14.378383937417084,1
